page_name,page_id,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,avg_ad_min_audience,avg_ad_runtime,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_female,avg_male,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
SPOLU pro Prahu,101279652413889,2128,258,0.121,60,832786,391,12533436,5890,67457,3.6,0,0.021,0.141,0.139,0.085,0.014,0.011,0,0.023,0.189,0.183,0.1,0.013,0.008,0.411,0.518,0,0.044,0.33,0.323,0.185,0.028,0.019,0.902,0.025,0.001,0.001,0,0.001,0,0.001,0,0,0.001,0.001,0.001,0
Generál Pavel,102389958091735,744,213,0.286,55,944828,1270,37672628,50635,632084,6.1,0,0.001,0.189,0.106,0.079,0.046,0.037,0,0.002,0.25,0.139,0.081,0.033,0.029,0.458,0.534,0,0.003,0.438,0.245,0.16,0.079,0.066,0.098,0.078,0.046,0.051,0.026,0.082,0.032,0.037,0.035,0.032,0.168,0.08,0.158,0.069
ODS Praha,137681825598,720,97,0.135,68,181140,252,2703640,3755,26099,2.8,0,0.007,0.087,0.145,0.065,0.019,0.021,0,0.022,0.21,0.262,0.112,0.025,0.017,0.344,0.648,0,0.029,0.297,0.408,0.177,0.044,0.038,0.995,0.005,0,0,0,0,0,0,0,0,0,0,0,0
Tomio Okamura - SPD,179497582061065,618,578,0.935,462,283691,459,5388191,8719,928433,1,0,0.008,0.023,0.046,0.066,0.108,0.111,0,0.031,0.108,0.177,0.13,0.102,0.082,0.361,0.629,0,0.039,0.131,0.223,0.196,0.21,0.192,0.086,0.093,0.055,0.055,0.039,0.108,0.051,0.053,0.048,0.044,0.112,0.066,0.13,0.053
Milion chvilek pro demokracii,728495140691300,472,21,0.044,77,161114,341,1414764,2997,406535,3.7,0,0.034,0.05,0.061,0.059,0.056,0.056,0,0.053,0.06,0.067,0.066,0.054,0.05,0.316,0.35,0,0.086,0.111,0.128,0.125,0.11,0.106,0.19,0.072,0.034,0.028,0.013,0.037,0.024,0.032,0.027,0.022,0.084,0.03,0.047,0.03
Tomáš Zima,236211929833146,377,62,0.164,49,262112,695,7992812,21201,540947,11.5,0,0.016,0.031,0.03,0.037,0.044,0.055,0,0.054,0.131,0.113,0.09,0.056,0.048,0.213,0.493,0,0.07,0.162,0.143,0.127,0.101,0.104,0.064,0.064,0.046,0.043,0.023,0.079,0.031,0.04,0.046,0.031,0.085,0.043,0.078,0.035
Eva Rajchmanová - starostka a kandidátka do Senátu,110208494972750,364,152,0.418,96,42118,116,927818,2549,13530,3.5,0,0.067,0.101,0.117,0.133,0.096,0.075,0,0.061,0.118,0.093,0.068,0.037,0.028,0.589,0.405,0,0.129,0.219,0.211,0.201,0.132,0.103,0.001,0,0,0,0,0,0,0,0,0,0.99,0.001,0,0.002
Zvon #9801,109553708206923,328,95,0.29,33,129036,393,4820836,14698,390327,12.1,0,0.065,0.052,0.03,0.025,0.021,0.029,0,0.204,0.221,0.116,0.066,0.033,0.042,0.222,0.682,0,0.268,0.273,0.146,0.09,0.054,0.071,0.176,0.094,0.051,0.052,0.025,0.074,0.035,0.043,0.04,0.037,0.097,0.048,0.084,0.046
Petr Fiala,487445514669670,310,163,0.526,83,564845,1822,9455345,30501,65976,5.6,0,0.016,0.048,0.059,0.064,0.033,0,0,0.115,0.257,0.199,0.148,0.056,0,0.22,0.775,0,0.13,0.305,0.258,0.212,0.089,0,0.24,0.106,0.053,0.047,0.02,0.058,0.033,0.047,0.045,0.052,0.139,0.047,0.062,0.05
Peak.cz,378827025796132,306,134,0.438,33,33347,109,362847,1186,102942,4.4,0,0,0.003,0.007,0.019,0.046,0.065,0,0.013,0.066,0.1,0.146,0.146,0.137,0.14,0.607,0,0.013,0.069,0.106,0.165,0.192,0.201,0.111,0.069,0.04,0.034,0.025,0.07,0.032,0.029,0.031,0.031,0.099,0.049,0.093,0.035
PRO Plzeň,233440870590457,306,160,0.523,42,52247,171,743847,2431,12191,0.8,0,0.007,0.052,0.046,0.022,0.008,0.005,0,0.008,0.046,0.034,0.02,0.005,0.003,0.141,0.117,0,0.015,0.098,0.08,0.042,0.013,0.008,0,0.001,0.003,0.253,0,0,0,0,0,0,0,0,0,0
Jan Kavalírek / radní Praha 5,101500052256658,292,94,0.322,82,103554,355,1000854,3428,12465,10.8,0,0.105,0.154,0.087,0.055,0.027,0.022,0,0.089,0.169,0.105,0.062,0.022,0.019,0.45,0.466,0,0.194,0.323,0.192,0.118,0.049,0.041,0.921,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenpeace Česká republika,55876739776,288,60,0.208,168,1074906,3732,7613856,26437,250782,5.5,0.004,0.182,0.274,0.158,0.076,0.038,0.036,0.002,0.049,0.077,0.045,0.02,0.008,0.011,0.77,0.211,0.006,0.231,0.351,0.203,0.096,0.047,0.047,0.329,0.082,0.042,0.041,0.02,0.061,0.034,0.042,0.035,0.028,0.103,0.043,0.084,0.036
Šárka Jelínková,1158186927548185,280,138,0.493,80,35160,126,678860,2424,7624,4,0,0.111,0.148,0.16,0.114,0.083,0.075,0,0.051,0.083,0.07,0.048,0.029,0.025,0.692,0.305,0,0.162,0.231,0.229,0.162,0.113,0.1,0,0,0,0,0,0,0,0,0,0,0.081,0.001,0,0.918
Piráti Hradec Králové,1953958664821128,266,128,0.481,83,91567,344,523867,1969,12397,2.4,0,0.101,0.124,0.098,0.056,0.037,0.043,0,0.114,0.177,0.113,0.064,0.028,0.029,0.458,0.525,0,0.215,0.3,0.211,0.12,0.065,0.072,0.003,0.004,0.001,0.001,0,0.001,0.001,0.967,0.011,0.001,0.002,0.001,0.001,0
Ondřej Prokop,197010357446014,251,147,0.586,617,395124,1574,2911374,11599,118165,3.1,0,0.014,0.031,0.073,0.103,0.121,0.194,0,0.032,0.065,0.086,0.101,0.074,0.089,0.536,0.448,0,0.046,0.097,0.159,0.204,0.195,0.283,0.728,0.092,0.011,0.012,0.009,0.028,0.011,0.012,0.01,0.008,0.021,0.012,0.023,0.009
Ministerstvo práce a sociálních věcí,211685455639198,214,59,0.276,38,349543,1633,10116393,47273,350235,7.8,0,0.059,0.128,0.161,0.184,0.08,0.046,0,0.04,0.058,0.077,0.091,0.04,0.024,0.658,0.328,0,0.099,0.186,0.237,0.275,0.12,0.069,0.093,0.111,0.094,0.085,0.03,0.102,0.06,0.062,0.062,0.058,0.08,0.043,0.076,0.032
Transparency International ČR,117823623864,205,128,0.624,98,71748,350,1233398,6017,463660,4,0,0.057,0.06,0.057,0.047,0.053,0.115,0,0.05,0.125,0.18,0.098,0.064,0.087,0.39,0.603,0,0.107,0.184,0.237,0.145,0.118,0.202,0.235,0.116,0.04,0.037,0.021,0.071,0.032,0.039,0.033,0.03,0.185,0.041,0.079,0.039
ODS - Občanská demokratická strana,30575632699,195,102,0.523,56,327002,1677,5300402,27182,71463,4.2,0,0.032,0.053,0.049,0.058,0.032,0,0,0.147,0.237,0.18,0.146,0.06,0,0.224,0.771,0,0.179,0.29,0.229,0.204,0.092,0,0.228,0.107,0.053,0.044,0.023,0.071,0.041,0.046,0.043,0.039,0.132,0.048,0.08,0.044
